# Objective 2 ET0 cross-check
# our FAO-56 Penman-Monteith vs Open-Meteo published et0_fao_evapotranspiration
"# period 2025-01-01 to 2025-12-31, tolerance 0.2 mm/day"

site,n,mae_mm,rmse_mm,bias_mm,fraction_within_tolerance
Vellore TN,365,0.2970,0.3661,0.2045,0.3726
Beed MH,365,0.3080,0.3500,-0.0131,0.2877
Ludhiana PB,365,0.2317,0.2764,0.0044,0.4384
OVERALL,1095,0.2789,0.3331,0.0653,0.3662

site,date,et0_ours_mm,et0_openmeteo_mm,difference_mm
Vellore TN,2025-01-01,3.9441,4.0000,-0.0559
Vellore TN,2025-01-02,3.5566,3.6100,-0.0534
Vellore TN,2025-01-03,3.9461,3.9900,-0.0439
Vellore TN,2025-01-04,3.5964,3.7400,-0.1436
Vellore TN,2025-01-05,3.6434,3.8500,-0.2066
Vellore TN,2025-01-06,3.6467,3.9000,-0.2533
Vellore TN,2025-01-07,3.8806,3.9900,-0.1094
Vellore TN,2025-01-08,4.0806,4.3600,-0.2794
Vellore TN,2025-01-09,3.3717,3.3700,0.0017
Vellore TN,2025-01-10,3.2143,3.0000,0.2143
Vellore TN,2025-01-11,3.0392,2.9800,0.0592
Vellore TN,2025-01-12,2.4768,2.2300,0.2468
Vellore TN,2025-01-13,2.6412,2.3700,0.2712
Vellore TN,2025-01-14,3.9345,3.9200,0.0145
Vellore TN,2025-01-15,4.0394,3.9400,0.0994
Vellore TN,2025-01-16,3.8530,3.7800,0.0730
Vellore TN,2025-01-17,3.7149,3.6800,0.0349
Vellore TN,2025-01-18,3.8582,3.8700,-0.0118
Vellore TN,2025-01-19,2.6119,2.2700,0.3419
Vellore TN,2025-01-20,4.1802,4.3500,-0.1698
Vellore TN,2025-01-21,3.9824,4.2400,-0.2576
Vellore TN,2025-01-22,3.2970,3.3300,-0.0330
Vellore TN,2025-01-23,3.9237,4.1100,-0.1863
Vellore TN,2025-01-24,4.2007,4.3600,-0.1593
Vellore TN,2025-01-25,4.2551,4.5100,-0.2549
Vellore TN,2025-01-26,4.4296,4.7400,-0.3104
Vellore TN,2025-01-27,4.4694,4.7600,-0.2906
Vellore TN,2025-01-28,4.4330,4.7200,-0.2870
Vellore TN,2025-01-29,4.5227,4.6900,-0.1673
Vellore TN,2025-01-30,4.3793,4.3300,0.0493
Vellore TN,2025-01-31,4.3566,4.5300,-0.1734
Vellore TN,2025-02-01,4.6982,4.8000,-0.1018
Vellore TN,2025-02-02,5.1875,5.3300,-0.1425
Vellore TN,2025-02-03,5.0462,5.3500,-0.3038
Vellore TN,2025-02-04,5.4610,5.7000,-0.2390
Vellore TN,2025-02-05,5.6350,5.9400,-0.3050
Vellore TN,2025-02-06,4.9838,5.4100,-0.4262
Vellore TN,2025-02-07,5.1766,5.6700,-0.4934
Vellore TN,2025-02-08,5.3943,5.6900,-0.2957
Vellore TN,2025-02-09,5.2980,5.3700,-0.0720
Vellore TN,2025-02-10,5.0180,5.2500,-0.2320
Vellore TN,2025-02-11,4.7792,5.1000,-0.3208
Vellore TN,2025-02-12,5.4441,5.7000,-0.2559
Vellore TN,2025-02-13,5.5930,5.9200,-0.3270
Vellore TN,2025-02-14,5.6154,5.9500,-0.3346
Vellore TN,2025-02-15,5.5246,5.8500,-0.3254
Vellore TN,2025-02-16,5.6731,5.9500,-0.2769
Vellore TN,2025-02-17,5.5639,5.7300,-0.1661
Vellore TN,2025-02-18,5.2955,5.5200,-0.2245
Vellore TN,2025-02-19,5.8234,6.0100,-0.1866
Vellore TN,2025-02-20,5.5953,5.8200,-0.2247
Vellore TN,2025-02-21,5.5092,5.7100,-0.2008
Vellore TN,2025-02-22,5.5223,5.8000,-0.2777
Vellore TN,2025-02-23,5.8219,6.1600,-0.3381
Vellore TN,2025-02-24,6.2831,6.4500,-0.1669
Vellore TN,2025-02-25,6.3466,6.4200,-0.0734
Vellore TN,2025-02-26,6.4014,6.4100,-0.0086
Vellore TN,2025-02-27,6.0333,6.2100,-0.1767
Vellore TN,2025-02-28,5.6336,5.7100,-0.0764
Vellore TN,2025-03-01,5.6083,5.4600,0.1483
Vellore TN,2025-03-02,5.6786,5.8300,-0.1514
Vellore TN,2025-03-03,5.9709,6.2500,-0.2791
Vellore TN,2025-03-04,6.2586,6.4900,-0.2314
Vellore TN,2025-03-05,6.2289,6.4000,-0.1711
Vellore TN,2025-03-06,6.4038,6.6700,-0.2662
Vellore TN,2025-03-07,6.2837,6.6000,-0.3163
Vellore TN,2025-03-08,6.1457,6.4400,-0.2943
Vellore TN,2025-03-09,6.4978,6.7600,-0.2622
Vellore TN,2025-03-10,6.1296,6.1000,0.0296
Vellore TN,2025-03-11,4.1966,3.5900,0.6066
Vellore TN,2025-03-12,4.9261,4.7700,0.1561
Vellore TN,2025-03-13,5.7684,5.8900,-0.1216
Vellore TN,2025-03-14,5.9328,6.0400,-0.1072
Vellore TN,2025-03-15,6.1618,6.1500,0.0118
Vellore TN,2025-03-16,5.5478,5.8600,-0.3122
Vellore TN,2025-03-17,6.2207,6.1800,0.0407
Vellore TN,2025-03-18,6.4728,6.2800,0.1928
Vellore TN,2025-03-19,6.2262,6.1100,0.1162
Vellore TN,2025-03-20,6.8851,6.6300,0.2551
Vellore TN,2025-03-21,6.1455,5.9900,0.1555
Vellore TN,2025-03-22,5.3979,5.0700,0.3279
Vellore TN,2025-03-23,4.9160,4.6800,0.2360
Vellore TN,2025-03-24,5.8773,5.9700,-0.0927
Vellore TN,2025-03-25,6.5260,6.7400,-0.2140
Vellore TN,2025-03-26,6.3073,6.5500,-0.2427
Vellore TN,2025-03-27,6.4661,6.6600,-0.1939
Vellore TN,2025-03-28,6.6877,6.8100,-0.1223
Vellore TN,2025-03-29,7.3545,7.4900,-0.1355
Vellore TN,2025-03-30,7.3252,7.4700,-0.1448
Vellore TN,2025-03-31,6.5130,6.5500,-0.0370
Vellore TN,2025-04-01,5.9569,5.9500,0.0069
Vellore TN,2025-04-02,6.1819,6.0200,0.1619
Vellore TN,2025-04-03,5.7041,5.4000,0.3041
Vellore TN,2025-04-04,5.0415,4.7300,0.3115
Vellore TN,2025-04-05,5.4057,5.2300,0.1757
Vellore TN,2025-04-06,5.3493,5.2500,0.0993
Vellore TN,2025-04-07,6.7181,6.8700,-0.1519
Vellore TN,2025-04-08,6.5387,6.7300,-0.1913
Vellore TN,2025-04-09,6.4306,6.4300,0.0006
Vellore TN,2025-04-10,6.1868,5.9200,0.2668
Vellore TN,2025-04-11,6.9399,6.6400,0.2999
Vellore TN,2025-04-12,6.9960,6.7300,0.2660
Vellore TN,2025-04-13,5.8040,5.7100,0.0940
Vellore TN,2025-04-14,5.6487,5.3800,0.2687
Vellore TN,2025-04-15,5.7961,5.5500,0.2461
Vellore TN,2025-04-16,5.8023,5.4600,0.3423
Vellore TN,2025-04-17,6.2699,6.1100,0.1599
Vellore TN,2025-04-18,6.1570,5.8500,0.3070
Vellore TN,2025-04-19,5.8489,5.6100,0.2389
Vellore TN,2025-04-20,6.3442,6.1000,0.2442
Vellore TN,2025-04-21,6.3092,6.1000,0.2092
Vellore TN,2025-04-22,6.2609,6.2300,0.0309
Vellore TN,2025-04-23,6.8000,6.6500,0.1500
Vellore TN,2025-04-24,6.5390,6.3200,0.2190
Vellore TN,2025-04-25,6.9751,6.6700,0.3051
Vellore TN,2025-04-26,7.2728,6.8600,0.4128
Vellore TN,2025-04-27,6.9776,6.6800,0.2976
Vellore TN,2025-04-28,6.2934,5.9300,0.3634
Vellore TN,2025-04-29,6.4401,6.3000,0.1401
Vellore TN,2025-04-30,6.5587,6.4000,0.1587
Vellore TN,2025-05-01,6.0988,5.9700,0.1288
Vellore TN,2025-05-02,5.7357,5.6600,0.0757
Vellore TN,2025-05-03,6.6172,6.4400,0.1772
Vellore TN,2025-05-04,6.9984,6.5500,0.4484
Vellore TN,2025-05-05,7.2403,6.6300,0.6103
Vellore TN,2025-05-06,6.5494,6.1800,0.3694
Vellore TN,2025-05-07,7.1075,6.6200,0.4875
Vellore TN,2025-05-08,6.1480,5.8200,0.3280
Vellore TN,2025-05-09,6.5821,6.3300,0.2521
Vellore TN,2025-05-10,6.0829,5.9800,0.1029
Vellore TN,2025-05-11,5.9512,5.9100,0.0412
Vellore TN,2025-05-12,6.9902,6.7600,0.2302
Vellore TN,2025-05-13,7.4752,6.9800,0.4952
Vellore TN,2025-05-14,6.8971,6.7100,0.1871
Vellore TN,2025-05-15,6.3690,6.2600,0.1090
Vellore TN,2025-05-16,6.0843,5.7700,0.3143
Vellore TN,2025-05-17,5.8561,4.6700,1.1861
Vellore TN,2025-05-18,5.6090,4.8800,0.7290
Vellore TN,2025-05-19,4.0727,3.7500,0.3227
Vellore TN,2025-05-20,4.5103,3.9700,0.5403
Vellore TN,2025-05-21,5.3534,5.4200,-0.0666
Vellore TN,2025-05-22,6.3072,6.1000,0.2072
Vellore TN,2025-05-23,6.2701,5.9400,0.3301
Vellore TN,2025-05-24,3.4872,3.0400,0.4472
Vellore TN,2025-05-25,5.5552,4.9700,0.5852
Vellore TN,2025-05-26,5.0011,4.4800,0.5211
Vellore TN,2025-05-27,5.9966,5.4000,0.5966
Vellore TN,2025-05-28,7.1776,6.5200,0.6576
Vellore TN,2025-05-29,5.9772,5.5300,0.4472
Vellore TN,2025-05-30,6.1774,5.5500,0.6274
Vellore TN,2025-05-31,8.3481,7.5200,0.8281
Vellore TN,2025-06-01,8.6813,7.9800,0.7013
Vellore TN,2025-06-02,7.9319,7.5200,0.4119
Vellore TN,2025-06-03,7.3667,6.7900,0.5767
Vellore TN,2025-06-04,7.1892,6.8300,0.3592
Vellore TN,2025-06-05,7.0278,6.5800,0.4478
Vellore TN,2025-06-06,6.2075,6.2400,-0.0325
Vellore TN,2025-06-07,6.6234,6.3500,0.2734
Vellore TN,2025-06-08,6.4236,5.6700,0.7536
Vellore TN,2025-06-09,6.3385,5.6800,0.6585
Vellore TN,2025-06-10,7.3675,6.4000,0.9675
Vellore TN,2025-06-11,5.7395,5.0600,0.6795
Vellore TN,2025-06-12,5.7562,5.2700,0.4862
Vellore TN,2025-06-13,6.0077,5.5900,0.4177
Vellore TN,2025-06-14,6.8911,6.2000,0.6911
Vellore TN,2025-06-15,5.3125,4.8900,0.4225
Vellore TN,2025-06-16,4.8644,4.3100,0.5544
Vellore TN,2025-06-17,6.6237,6.1500,0.4737
Vellore TN,2025-06-18,7.6382,7.1700,0.4682
Vellore TN,2025-06-19,7.5805,7.0700,0.5105
Vellore TN,2025-06-20,7.7182,7.4500,0.2682
Vellore TN,2025-06-21,6.7207,6.3400,0.3807
Vellore TN,2025-06-22,7.8454,7.2100,0.6354
Vellore TN,2025-06-23,6.5668,6.0800,0.4868
Vellore TN,2025-06-24,7.3869,6.8700,0.5169
Vellore TN,2025-06-25,5.8052,4.8900,0.9152
Vellore TN,2025-06-26,5.4038,4.8200,0.5838
Vellore TN,2025-06-27,6.8574,6.4300,0.4274
Vellore TN,2025-06-28,7.5687,6.8700,0.6987
Vellore TN,2025-06-29,8.7946,8.0100,0.7846
Vellore TN,2025-06-30,7.3765,6.9700,0.4065
Vellore TN,2025-07-01,7.7799,7.3700,0.4099
Vellore TN,2025-07-02,7.4964,6.6800,0.8164
Vellore TN,2025-07-03,5.9482,5.2300,0.7182
Vellore TN,2025-07-04,8.2625,7.7400,0.5225
Vellore TN,2025-07-05,8.1353,7.4400,0.6953
Vellore TN,2025-07-06,8.4463,7.9100,0.5363
Vellore TN,2025-07-07,7.9762,7.4800,0.4962
Vellore TN,2025-07-08,8.8699,8.4200,0.4499
Vellore TN,2025-07-09,8.5084,8.0800,0.4284
Vellore TN,2025-07-10,7.7544,7.2300,0.5244
Vellore TN,2025-07-11,8.3716,7.4900,0.8816
Vellore TN,2025-07-12,7.2298,6.5200,0.7098
Vellore TN,2025-07-13,6.7753,5.9700,0.8053
Vellore TN,2025-07-14,8.1374,7.3400,0.7974
Vellore TN,2025-07-15,8.3501,7.5500,0.8001
Vellore TN,2025-07-16,6.6293,5.9500,0.6793
Vellore TN,2025-07-17,6.1951,5.0800,1.1151
Vellore TN,2025-07-18,4.4612,3.6300,0.8312
Vellore TN,2025-07-19,5.1675,4.3800,0.7875
Vellore TN,2025-07-20,5.3277,4.9400,0.3877
Vellore TN,2025-07-21,4.3068,3.8800,0.4268
Vellore TN,2025-07-22,5.3649,4.8400,0.5249
Vellore TN,2025-07-23,3.3099,3.1300,0.1799
Vellore TN,2025-07-24,3.2085,3.0700,0.1385
Vellore TN,2025-07-25,5.8498,5.4800,0.3698
Vellore TN,2025-07-26,6.2100,5.6900,0.5200
Vellore TN,2025-07-27,5.5834,4.8800,0.7034
Vellore TN,2025-07-28,7.5012,7.1000,0.4012
Vellore TN,2025-07-29,7.9768,7.4900,0.4868
Vellore TN,2025-07-30,7.9501,7.5100,0.4401
Vellore TN,2025-07-31,6.0090,5.7200,0.2890
Vellore TN,2025-08-01,6.0619,5.6800,0.3819
Vellore TN,2025-08-02,5.8361,5.6200,0.2161
Vellore TN,2025-08-03,4.5686,4.1800,0.3886
Vellore TN,2025-08-04,5.0067,4.4600,0.5467
Vellore TN,2025-08-05,5.2597,5.0100,0.2497
Vellore TN,2025-08-06,5.6515,5.5000,0.1515
Vellore TN,2025-08-07,5.4527,5.2200,0.2327
Vellore TN,2025-08-08,5.0508,4.7000,0.3508
Vellore TN,2025-08-09,4.3084,4.0000,0.3084
Vellore TN,2025-08-10,4.6622,4.2100,0.4522
Vellore TN,2025-08-11,4.6473,4.3200,0.3273
Vellore TN,2025-08-12,3.7499,3.6300,0.1199
Vellore TN,2025-08-13,2.8665,2.7300,0.1365
Vellore TN,2025-08-14,5.0622,4.1700,0.8922
Vellore TN,2025-08-15,5.1574,4.6600,0.4974
Vellore TN,2025-08-16,4.5819,3.8300,0.7519
Vellore TN,2025-08-17,3.7741,3.4100,0.3641
Vellore TN,2025-08-18,3.7618,3.4100,0.3518
Vellore TN,2025-08-19,5.5027,5.0800,0.4227
Vellore TN,2025-08-20,6.6408,6.3100,0.3308
Vellore TN,2025-08-21,5.2312,5.0200,0.2112
Vellore TN,2025-08-22,4.7386,4.4600,0.2786
Vellore TN,2025-08-23,4.4221,3.7900,0.6321
Vellore TN,2025-08-24,6.0750,5.7900,0.2850
Vellore TN,2025-08-25,6.0526,5.6600,0.3926
Vellore TN,2025-08-26,5.8470,5.5300,0.3170
Vellore TN,2025-08-27,4.7496,4.3700,0.3796
Vellore TN,2025-08-28,5.7443,5.0800,0.6643
Vellore TN,2025-08-29,6.3369,5.9700,0.3669
Vellore TN,2025-08-30,6.6517,6.4200,0.2317
Vellore TN,2025-08-31,5.6304,5.3100,0.3204
Vellore TN,2025-09-01,5.4070,5.1400,0.2670
Vellore TN,2025-09-02,7.0002,6.2800,0.7202
Vellore TN,2025-09-03,6.0601,5.4600,0.6001
Vellore TN,2025-09-04,6.4299,6.1200,0.3099
Vellore TN,2025-09-05,6.3279,6.0600,0.2679
Vellore TN,2025-09-06,6.1392,5.7100,0.4292
Vellore TN,2025-09-07,6.4134,5.9500,0.4634
Vellore TN,2025-09-08,6.5940,6.2500,0.3440
Vellore TN,2025-09-09,5.6428,5.6400,0.0028
Vellore TN,2025-09-10,5.6728,5.1600,0.5128
Vellore TN,2025-09-11,6.5498,6.2400,0.3098
Vellore TN,2025-09-12,5.4623,5.2800,0.1823
Vellore TN,2025-09-13,5.5261,5.2600,0.2661
Vellore TN,2025-09-14,5.9408,5.6900,0.2508
Vellore TN,2025-09-15,6.1938,6.0500,0.1438
Vellore TN,2025-09-16,3.8327,3.5000,0.3327
Vellore TN,2025-09-17,4.5981,4.2600,0.3381
Vellore TN,2025-09-18,5.1083,4.3400,0.7683
Vellore TN,2025-09-19,3.5685,3.1300,0.4385
Vellore TN,2025-09-20,3.6486,3.0900,0.5586
Vellore TN,2025-09-21,3.7193,3.2900,0.4293
Vellore TN,2025-09-22,4.9110,4.5300,0.3810
Vellore TN,2025-09-23,4.9772,4.5700,0.4072
Vellore TN,2025-09-24,6.2206,5.8200,0.4006
Vellore TN,2025-09-25,6.0195,5.5400,0.4795
Vellore TN,2025-09-26,6.0180,5.9300,0.0880
Vellore TN,2025-09-27,6.7039,6.0900,0.6139
Vellore TN,2025-09-28,6.7922,6.3900,0.4022
Vellore TN,2025-09-29,5.4050,5.1300,0.2750
Vellore TN,2025-09-30,4.8022,4.2200,0.5822
Vellore TN,2025-10-01,5.1806,4.7000,0.4806
Vellore TN,2025-10-02,4.7762,4.6400,0.1362
Vellore TN,2025-10-03,4.3039,4.0200,0.2839
Vellore TN,2025-10-04,3.3960,2.9800,0.4160
Vellore TN,2025-10-05,4.9851,4.6600,0.3251
Vellore TN,2025-10-06,5.1091,5.0200,0.0891
Vellore TN,2025-10-07,4.6386,4.6300,0.0086
Vellore TN,2025-10-08,4.1729,4.0200,0.1529
Vellore TN,2025-10-09,4.4886,4.3800,0.1086
Vellore TN,2025-10-10,4.5063,4.4000,0.1063
Vellore TN,2025-10-11,4.6853,4.4800,0.2053
Vellore TN,2025-10-12,4.4780,4.4300,0.0480
Vellore TN,2025-10-13,4.4166,4.3400,0.0766
Vellore TN,2025-10-14,4.2259,4.1100,0.1159
Vellore TN,2025-10-15,2.2670,2.0200,0.2470
Vellore TN,2025-10-16,3.7307,3.2200,0.5107
Vellore TN,2025-10-17,2.6893,2.3500,0.3393
Vellore TN,2025-10-18,2.4196,2.1400,0.2796
Vellore TN,2025-10-19,2.7743,2.6900,0.0843
Vellore TN,2025-10-20,2.7501,2.4500,0.3001
Vellore TN,2025-10-21,2.0454,1.7500,0.2954
Vellore TN,2025-10-22,2.3692,1.9800,0.3892
Vellore TN,2025-10-23,2.4960,2.3400,0.1560
Vellore TN,2025-10-24,1.9792,1.7300,0.2492
Vellore TN,2025-10-25,3.3410,3.2400,0.1010
Vellore TN,2025-10-26,3.6117,3.6300,-0.0183
Vellore TN,2025-10-27,1.8897,1.6200,0.2697
Vellore TN,2025-10-28,1.2043,0.9700,0.2343
Vellore TN,2025-10-29,5.1195,4.9000,0.2195
Vellore TN,2025-10-30,4.9311,4.9500,-0.0189
Vellore TN,2025-10-31,5.0656,5.0400,0.0256
Vellore TN,2025-11-01,4.5052,4.7000,-0.1948
Vellore TN,2025-11-02,4.5580,4.6100,-0.0520
Vellore TN,2025-11-03,4.3354,4.2600,0.0754
Vellore TN,2025-11-04,3.3273,3.2500,0.0773
Vellore TN,2025-11-05,3.9499,3.9300,0.0199
Vellore TN,2025-11-06,3.7398,3.4400,0.2998
Vellore TN,2025-11-07,4.4769,4.5300,-0.0531
Vellore TN,2025-11-08,4.6177,4.7500,-0.1323
Vellore TN,2025-11-09,4.4712,4.6900,-0.2188
Vellore TN,2025-11-10,4.0501,4.1400,-0.0899
Vellore TN,2025-11-11,4.5651,4.5900,-0.0249
Vellore TN,2025-11-12,4.1981,4.0900,0.1081
Vellore TN,2025-11-13,4.2507,4.1100,0.1407
Vellore TN,2025-11-14,4.4703,4.5300,-0.0597
Vellore TN,2025-11-15,4.1690,4.0400,0.1290
Vellore TN,2025-11-16,4.2984,4.2900,0.0084
Vellore TN,2025-11-17,3.5166,3.2600,0.2566
Vellore TN,2025-11-18,2.8717,2.5300,0.3417
Vellore TN,2025-11-19,3.7986,3.7000,0.0986
Vellore TN,2025-11-20,4.2532,4.1600,0.0932
Vellore TN,2025-11-21,2.9182,2.8200,0.0982
Vellore TN,2025-11-22,3.0343,2.7000,0.3343
Vellore TN,2025-11-23,2.3949,2.1800,0.2149
Vellore TN,2025-11-24,2.2534,2.0300,0.2234
Vellore TN,2025-11-25,3.9091,3.6700,0.2391
Vellore TN,2025-11-26,4.2933,4.1700,0.1233
Vellore TN,2025-11-27,4.3902,4.2500,0.1402
Vellore TN,2025-11-28,3.9779,3.9200,0.0579
Vellore TN,2025-11-29,2.3876,2.0800,0.3076
Vellore TN,2025-11-30,2.4718,2.0300,0.4418
Vellore TN,2025-12-01,3.8377,3.6000,0.2377
Vellore TN,2025-12-02,3.1399,2.8200,0.3199
Vellore TN,2025-12-03,1.5912,1.3200,0.2712
Vellore TN,2025-12-04,2.7382,2.4300,0.3082
Vellore TN,2025-12-05,3.5355,3.4300,0.1055
Vellore TN,2025-12-06,3.7002,3.5800,0.1202
Vellore TN,2025-12-07,3.4199,3.2500,0.1699
Vellore TN,2025-12-08,3.7539,3.8400,-0.0861
Vellore TN,2025-12-09,3.7957,3.7700,0.0257
Vellore TN,2025-12-10,3.9716,4.1000,-0.1284
Vellore TN,2025-12-11,4.1533,4.1300,0.0233
