# Objective 2: hourly-versus-daily hypothesis
"# Beed MH, 2025-04-01 to 2025-04-30"
# A = our FAO-56 eq 6 from daily aggregates
# B = our FAO-56 eq 53 summed over 24 hours
# reference = Open-Meteo published et0_fao_evapotranspiration

series,n,mae_mm,rmse_mm,bias_mm,within_0.2
A daily-aggregate,30,0.1543,0.1782,-0.0885,0.6333
B hourly-summed,30,0.3682,0.3740,-0.3682,0.0333

date,et0_daily_aggregate,et0_hourly_sum,et0_openmeteo
2025-04-01,6.2024,5.9363,6.1300
2025-04-02,6.0351,5.7395,6.1000
2025-04-03,5.5784,5.1126,5.3600
2025-04-04,6.3964,6.2494,6.6000
2025-04-05,6.7613,6.6659,7.0100
2025-04-06,6.8120,6.7546,7.1100
2025-04-07,7.1103,7.0366,7.4300
2025-04-08,6.7433,6.5687,7.0400
2025-04-09,8.2073,7.7361,8.1000
2025-04-10,8.5568,8.1731,8.5800
2025-04-11,7.3312,6.9846,7.3900
2025-04-12,7.4906,7.3153,7.7100
2025-04-13,7.2464,6.9171,7.3200
2025-04-14,7.1855,6.8286,7.2600
2025-04-15,6.5761,6.4128,6.8400
2025-04-16,7.1453,6.8801,7.2600
2025-04-17,7.3904,7.0229,7.4700
2025-04-18,7.1794,6.6694,7.0300
2025-04-19,7.8078,7.3574,7.7500
2025-04-20,8.2331,7.9895,8.3700
2025-04-21,7.2592,7.1372,7.5200
2025-04-22,6.8666,6.7806,7.0300
2025-04-23,8.4491,8.4510,8.7000
2025-04-24,7.3974,7.2422,7.6500
2025-04-25,7.6882,7.2274,7.5300
2025-04-26,7.9801,7.5838,7.8600
2025-04-27,6.6991,6.4391,6.8700
2025-04-28,8.1425,7.6267,8.0400
2025-04-29,7.2544,6.9164,7.3200
2025-04-30,8.0285,7.6098,8.0300
