# Objective 2: is the residual an input-dataset or a methodology difference?
"# 2025-01-01 to 2025-12-31, three pilot districts"
"# dry = mean bias Nov-May, wet = mean bias Jun-Oct"

site,series,n,mae_mm,rmse_mm,bias_mm,bias_dry,bias_wet
Vellore TN,our PM on Open-Meteo vs published,365,0.2970,0.3661,0.2045,0.0543,0.4126
Vellore TN,our PM on NASA POWER vs published,365,0.7334,0.8730,-0.4981,-0.5661,-0.4038
Vellore TN,our PM: POWER vs Open-Meteo inputs,365,0.8355,0.9863,-0.7026,-0.6205,-0.8164
Beed MH,our PM on Open-Meteo vs published,365,0.3080,0.3500,-0.0131,-0.2158,0.2677
Beed MH,our PM on NASA POWER vs published,365,0.6580,0.8274,0.0013,0.1615,-0.2205
Beed MH,our PM: POWER vs Open-Meteo inputs,365,0.7388,0.9367,0.0144,0.3772,-0.4883
Ludhiana PB,our PM on Open-Meteo vs published,365,0.2317,0.2764,0.0044,-0.0858,0.1292
Ludhiana PB,our PM on NASA POWER vs published,365,0.6246,0.9167,0.3999,0.5601,0.1780
Ludhiana PB,our PM: POWER vs Open-Meteo inputs,365,0.6299,0.8595,0.3955,0.6458,0.0487
OVERALL,our PM on Open-Meteo vs published,1095,0.2789,0.3331,0.0653,-0.0824,0.2699
OVERALL,our PM on NASA POWER vs published,1095,0.6720,0.8731,-0.0323,0.0518,-0.1488
OVERALL,our PM: POWER vs Open-Meteo inputs,1095,0.7347,0.9290,-0.0975,0.1342,-0.4187
