# Objective 6: five-policy comparison
# decisions use the forecast AS ISSUED (Open-Meteo Previous Runs)
# the water balance uses observed archive weather
"# rain calibration Brier 0.0859 vs raw forecast 0.1174, n=4344"
# Pref is PHYSICALLY UNACHIEVABLE: it assumes power on demand

policy,achievable,site,crop,season,days,water_mm,stress_days,max_deficit_mm,pump_hours,energy_kwh,deep_percolation_mm,windows_used,irrigations
P0_calendar,True,Vellore TN,groundnut,2024,131,498.3,32,47.2,136.0,507.3,602.2,17,17
P1_advisory_constrained,True,Vellore TN,groundnut,2024,131,241.7,35,47.2,66.0,246.0,346.2,10,10
P2_window,True,Vellore TN,groundnut,2024,131,302.5,18,47.2,82.5,307.9,381.2,17,17
P3_window_skip,True,Vellore TN,groundnut,2024,131,291.4,18,47.2,79.5,296.6,370.1,16,16
Pref_unlimited_power,False,Vellore TN,groundnut,2024,131,282.5,15,31.1,77.1,287.6,352.2,0,13
P0_calendar,True,Vellore TN,rice,2024,151,471.3,83,69.4,152.0,567.0,424.7,19,19
P1_advisory_constrained,True,Vellore TN,rice,2024,151,449.5,72,69.4,145.0,540.8,382.4,25,25
P2_window,True,Vellore TN,rice,2024,151,510.1,66,62.6,164.5,613.7,447.1,28,28
P3_window_skip,True,Vellore TN,rice,2024,151,496.8,66,62.6,160.3,597.7,433.8,27,27
Pref_unlimited_power,False,Vellore TN,rice,2024,151,479.9,50,19.0,154.8,577.3,396.8,0,37
P0_calendar,True,Vellore TN,tomato,2024,136,1005.3,17,50.5,136.0,304.4,1032.8,17,17
P1_advisory_constrained,True,Vellore TN,tomato,2024,136,256.1,22,54.3,34.6,77.5,308.4,8,8
P2_window,True,Vellore TN,tomato,2024,136,276.4,15,55.5,37.4,83.7,305.5,11,11
P3_window_skip,True,Vellore TN,tomato,2024,136,276.4,15,55.5,37.4,83.7,305.5,11,11
Pref_unlimited_power,False,Vellore TN,tomato,2024,136,249.4,14,43.5,33.7,75.5,301.7,0,9
P0_calendar,True,Beed MH,cotton,2024,196,310.0,45,115.0,200.0,1119.0,938.5,25,25
P1_advisory_constrained,True,Beed MH,cotton,2024,196,198.4,25,107.5,128.0,716.2,736.7,16,16
P2_window,True,Beed MH,cotton,2024,196,429.1,0,39.3,276.8,1548.5,904.4,36,36
P3_window_skip,True,Beed MH,cotton,2024,196,432.8,0,44.4,279.2,1562.2,908.1,36,36
Pref_unlimited_power,False,Beed MH,cotton,2024,196,230.5,1,77.4,148.7,832.1,736.7,0,3
P0_calendar,True,Beed MH,sugarcane,2024,406,747.5,188,138.0,408.0,2282.8,1116.7,51,51
P1_advisory_constrained,True,Beed MH,sugarcane,2024,406,1187.2,169,138.0,648.0,3625.6,881.2,81,81
P2_window,True,Beed MH,sugarcane,2024,406,1977.5,10,92.0,1079.4,6039.2,1568.8,139,139
P3_window_skip,True,Beed MH,sugarcane,2024,406,1953.9,10,92.0,1066.5,5967.2,1545.2,136,136
Pref_unlimited_power,False,Beed MH,sugarcane,2024,406,1303.7,29,96.6,711.6,3981.5,953.1,0,14
P0_calendar,True,Beed MH,chickpea,2024,111,184.5,61,69.0,112.0,417.8,26.3,14,14
P1_advisory_constrained,True,Beed MH,chickpea,2024,111,301.6,33,58.4,183.1,682.9,11.6,23,23
P2_window,True,Beed MH,chickpea,2024,111,399.1,0,33.8,242.2,903.4,90.1,32,32
P3_window_skip,True,Beed MH,chickpea,2024,111,399.1,0,33.8,242.2,903.4,90.1,32,32
Pref_unlimited_power,False,Beed MH,chickpea,2024,111,299.1,0,36.4,181.5,677.1,11.6,0,10
P0_calendar,True,Ludhiana PB,rice,2024,151,235.6,122,69.4,152.0,1133.9,63.2,19,19
P1_advisory_constrained,True,Ludhiana PB,rice,2024,151,448.9,74,51.4,289.6,2160.4,107.3,40,40
P2_window,True,Ludhiana PB,rice,2024,151,549.8,49,38.9,354.7,2645.7,197.6,46,46
P3_window_skip,True,Ludhiana PB,rice,2024,151,540.9,53,38.9,348.9,2602.7,189.0,44,44
Pref_unlimited_power,False,Ludhiana PB,rice,2024,151,482.2,33,19.4,311.0,2320.4,125.1,0,39
P0_calendar,True,Ludhiana PB,wheat,2024,121,234.5,0,45.9,128.0,954.9,138.6,16,16
P1_advisory_constrained,True,Ludhiana PB,wheat,2024,121,14.7,0,127.3,8.0,59.7,0.0,1,1
P2_window,True,Ludhiana PB,wheat,2024,121,215.7,0,24.4,117.7,878.1,119.8,17,17
P3_window_skip,True,Ludhiana PB,wheat,2024,121,204.9,0,24.4,111.9,834.4,109.0,16,16
Pref_unlimited_power,False,Ludhiana PB,wheat,2024,121,115.1,0,115.1,62.8,468.5,38.4,0,1
P0_calendar,True,Ludhiana PB,maize,2024,126,266.9,0,19.4,128.0,716.2,133.1,16,16
P1_advisory_constrained,True,Ludhiana PB,maize,2024,126,83.4,2,66.8,40.0,223.8,0.0,5,5
P2_window,True,Ludhiana PB,maize,2024,126,188.1,0,26.4,90.2,504.6,63.8,13,13
P3_window_skip,True,Ludhiana PB,maize,2024,126,188.1,0,26.4,90.2,504.6,63.8,13,13
Pref_unlimited_power,False,Ludhiana PB,maize,2024,126,185.5,0,53.3,89.0,497.7,46.8,0,4
P0_calendar,True,Vellore TN,groundnut,2025,131,498.3,29,39.6,136.0,507.3,597.4,17,17
P1_advisory_constrained,True,Vellore TN,groundnut,2025,131,227.6,34,44.7,62.1,231.7,334.6,10,10
P2_window,True,Vellore TN,groundnut,2025,131,295.3,28,44.7,80.6,300.6,402.3,16,16
P3_window_skip,True,Vellore TN,groundnut,2025,131,299.1,28,44.7,81.6,304.4,406.1,16,16
Pref_unlimited_power,False,Vellore TN,groundnut,2025,131,255.0,14,30.1,69.6,259.6,348.9,0,14
P0_calendar,True,Vellore TN,rice,2025,151,471.3,72,62.5,152.0,567.0,447.5,19,19
P1_advisory_constrained,True,Vellore TN,rice,2025,151,426.8,67,42.2,137.7,513.4,379.0,27,27
P2_window,True,Vellore TN,rice,2025,151,420.7,65,42.2,135.7,506.1,369.8,27,27
P3_window_skip,True,Vellore TN,rice,2025,151,415.5,68,42.2,134.0,499.9,374.7,24,24
Pref_unlimited_power,False,Vellore TN,rice,2025,151,490.6,51,20.4,158.2,590.2,379.7,0,43
P0_calendar,True,Vellore TN,tomato,2025,136,1005.3,13,38.7,136.0,304.4,1134.1,17,17
P1_advisory_constrained,True,Vellore TN,tomato,2025,136,259.2,29,68.6,35.1,78.5,401.9,8,8
P2_window,True,Vellore TN,tomato,2025,136,256.3,16,51.7,34.7,77.6,372.4,11,11
P3_window_skip,True,Vellore TN,tomato,2025,136,243.9,16,51.7,33.0,73.8,359.9,10,10
Pref_unlimited_power,False,Vellore TN,tomato,2025,136,226.5,15,44.7,30.6,68.6,363.0,0,10
P0_calendar,True,Beed MH,cotton,2025,196,310.0,28,115.0,200.0,1119.0,735.4,25,25
P1_advisory_constrained,True,Beed MH,cotton,2025,196,186.0,28,105.2,120.0,671.4,551.9,15,15
P2_window,True,Beed MH,cotton,2025,196,398.0,0,36.5,256.8,1436.6,701.0,35,35
P3_window_skip,True,Beed MH,cotton,2025,196,402.1,0,36.5,259.4,1451.2,710.9,34,34
Pref_unlimited_power,False,Beed MH,cotton,2025,196,233.1,2,79.4,150.4,841.2,591.6,0,3
P0_calendar,True,Beed MH,sugarcane,2025,334,615.6,155,138.0,336.0,1879.9,761.8,42,42
P1_advisory_constrained,True,Beed MH,sugarcane,2025,334,1011.3,161,138.0,552.0,3088.4,528.2,69,69
P2_window,True,Beed MH,sugarcane,2025,334,1441.1,0,63.8,786.6,4401.1,854.4,101,101
P3_window_skip,True,Beed MH,sugarcane,2025,334,1420.2,0,63.8,775.2,4337.2,833.5,99,99
Pref_unlimited_power,False,Beed MH,sugarcane,2025,334,1114.5,25,96.0,608.3,3403.7,569.7,0,12
P0_calendar,True,Beed MH,chickpea,2025,111,184.5,63,69.0,112.0,417.8,108.0,14,14
P1_advisory_constrained,True,Beed MH,chickpea,2025,111,290.0,37,61.4,176.0,656.5,74.0,22,22
P2_window,True,Beed MH,chickpea,2025,111,385.9,0,33.7,234.2,873.6,147.5,31,31
P3_window_skip,True,Beed MH,chickpea,2025,111,385.9,0,33.7,234.2,873.6,147.5,31,31
Pref_unlimited_power,False,Beed MH,chickpea,2025,111,301.5,1,38.7,183.0,682.6,74.0,0,9
P0_calendar,True,Ludhiana PB,rice,2025,151,235.6,93,69.4,152.0,1133.9,457.8,19,19
P1_advisory_constrained,True,Ludhiana PB,rice,2025,151,380.7,57,58.6,245.6,1831.9,466.9,33,33
P2_window,True,Ludhiana PB,rice,2025,151,514.9,45,41.2,332.1,2477.8,591.7,43,43
P3_window_skip,True,Ludhiana PB,rice,2025,151,501.3,46,41.2,323.4,2412.5,578.2,41,41
Pref_unlimited_power,False,Ludhiana PB,rice,2025,151,419.6,27,18.2,270.7,2019.2,496.4,0,33
P0_calendar,True,Ludhiana PB,wheat,2025,121,234.5,0,53.0,128.0,954.9,119.7,16,16
P1_advisory_constrained,True,Ludhiana PB,wheat,2025,121,44.0,1,135.7,24.0,179.0,0.0,3,3
P2_window,True,Ludhiana PB,wheat,2025,121,219.3,0,32.6,119.7,892.9,78.5,17,17
P3_window_skip,True,Ludhiana PB,wheat,2025,121,219.3,0,32.6,119.7,892.9,78.5,17,17
Pref_unlimited_power,False,Ludhiana PB,wheat,2025,121,115.9,0,115.9,63.2,471.7,0.0,0,1
P0_calendar,True,Ludhiana PB,maize,2025,126,266.9,0,23.4,128.0,716.2,160.5,16,16
P1_advisory_constrained,True,Ludhiana PB,maize,2025,126,133.5,0,59.5,64.0,358.1,37.0,8,8
P2_window,True,Ludhiana PB,maize,2025,126,180.9,0,26.5,86.7,485.4,89.0,12,12
